"Appendix 2b: All-Cause Deaths in 2019 by State, Sex, and Age Group as Reported by MOH",,,
State,Sex,Age Group,All deaths
Brazil,Female,0,15624
Brazil,Female,01-04,2540
Brazil,Female,05-09,1385
Brazil,Female,10-14,1705
Brazil,Female,15-19,3371
Brazil,Female,20-24,4614
Brazil,Female,25-29,5279
Brazil,Female,30-34,7237
Brazil,Female,35-39,10367
Brazil,Female,40-44,13756
Brazil,Female,45-49,17872
Brazil,Female,50-54,24735
Brazil,Female,55-59,33465
Brazil,Female,60-64,43379
Brazil,Female,65-69,52796
Brazil,Female,70-74,59661
Brazil,Female,75-79,69071
Brazil,Female,80-84,78043
Brazil,Female,85-89,74140
Brazil,Female,90+,83783
Brazil,Male,0,19401
Brazil,Male,01-04,3267
Brazil,Male,05-09,1774
Brazil,Male,10-14,2517
Brazil,Male,15-19,13269
Brazil,Male,20-24,20285
Brazil,Male,25-29,18583
Brazil,Male,30-34,19643
Brazil,Male,35-39,22598
Brazil,Male,40-44,25872
Brazil,Male,45-49,31323
Brazil,Male,50-54,42605
Brazil,Male,55-59,54450
Brazil,Male,60-64,66351
Brazil,Male,65-69,74058
Brazil,Male,70-74,76102
Brazil,Male,75-79,76903
Brazil,Male,80-84,71641
Brazil,Male,85-89,55407
Brazil,Male,90+,46671
Brazil,Total,0,35025
Brazil,Total,01-04,5807
Brazil,Total,05-09,3159
Brazil,Total,10-14,4222
Brazil,Total,15-19,16640
Brazil,Total,20-24,24899
Brazil,Total,25-29,23862
Brazil,Total,30-34,26880
Brazil,Total,35-39,32965
Brazil,Total,40-44,39628
Brazil,Total,45-49,49195
Brazil,Total,50-54,67340
Brazil,Total,55-59,87915
Brazil,Total,60-64,109730
Brazil,Total,65-69,126854
Brazil,Total,70-74,135763
Brazil,Total,75-79,145974
Brazil,Total,80-84,149684
Brazil,Total,85-89,129547
Brazil,Total,90+,130454
AC,Female,0,101
AC,Female,01-04,24
AC,Female,05-09,19
AC,Female,10-14,15
AC,Female,15-19,26
AC,Female,20-24,20
AC,Female,25-29,33
AC,Female,30-34,33
AC,Female,35-39,44
AC,Female,40-44,46
AC,Female,45-49,69
AC,Female,50-54,62
AC,Female,55-59,97
AC,Female,60-64,111
AC,Female,65-69,128
AC,Female,70-74,132
AC,Female,75-79,162
AC,Female,80-84,155
AC,Female,85-89,123
AC,Female,90+,151
AC,Male,0,157
AC,Male,01-04,33
AC,Male,05-09,19
AC,Male,10-14,12
AC,Male,15-19,77
AC,Male,20-24,109
AC,Male,25-29,99
AC,Male,30-34,98
AC,Male,35-39,103
AC,Male,40-44,86
AC,Male,45-49,121
AC,Male,50-54,151
AC,Male,55-59,147
AC,Male,60-64,194
AC,Male,65-69,197
AC,Male,70-74,206
AC,Male,75-79,230
AC,Male,80-84,179
AC,Male,85-89,144
AC,Male,90+,163
AL,Female,0,286
AL,Female,01-04,54
AL,Female,05-09,32
AL,Female,10-14,30
AL,Female,15-19,72
AL,Female,20-24,100
AL,Female,25-29,92
AL,Female,30-34,99
AL,Female,35-39,171
AL,Female,40-44,245
AL,Female,45-49,305
AL,Female,50-54,471
AL,Female,55-59,540
AL,Female,60-64,718
AL,Female,65-69,897
AL,Female,70-74,978
AL,Female,75-79,1065
AL,Female,80-84,1098
AL,Female,85-89,925
AL,Female,90+,1012
AL,Male,0,367
AL,Male,01-04,68
AL,Male,05-09,41
AL,Male,10-14,64
AL,Male,15-19,309
AL,Male,20-24,442
AL,Male,25-29,348
AL,Male,30-34,354
AL,Male,35-39,387
AL,Male,40-44,432
AL,Male,45-49,516
AL,Male,50-54,649
AL,Male,55-59,780
AL,Male,60-64,861
AL,Male,65-69,1019
AL,Male,70-74,1107
AL,Male,75-79,1055
AL,Male,80-84,931
AL,Male,85-89,715
AL,Male,90+,617
AM,Female,0,515
AM,Female,01-04,111
AM,Female,05-09,49
AM,Female,10-14,51
AM,Female,15-19,119
AM,Female,20-24,121
AM,Female,25-29,138
AM,Female,30-34,154
AM,Female,35-39,186
AM,Female,40-44,270
AM,Female,45-49,282
AM,Female,50-54,325
AM,Female,55-59,418
AM,Female,60-64,470
AM,Female,65-69,603
AM,Female,70-74,622
AM,Female,75-79,677
AM,Female,80-84,725
AM,Female,85-89,586
AM,Female,90+,699
AM,Male,0,717
AM,Male,01-04,131
AM,Male,05-09,61
AM,Male,10-14,106
AM,Male,15-19,388
AM,Male,20-24,633
AM,Male,25-29,577
AM,Male,30-34,489
AM,Male,35-39,462
AM,Male,40-44,458
AM,Male,45-49,463
AM,Male,50-54,550
AM,Male,55-59,687
AM,Male,60-64,835
AM,Male,65-69,904
AM,Male,70-74,896
AM,Male,75-79,896
AM,Male,80-84,783
AM,Male,85-89,575
AM,Male,90+,523
AP,Female,0,130
AP,Female,01-04,28
AP,Female,05-09,13
AP,Female,10-14,14
AP,Female,15-19,20
AP,Female,20-24,28
AP,Female,25-29,24
AP,Female,30-34,26
AP,Female,35-39,39
AP,Female,40-44,54
AP,Female,45-49,53
AP,Female,50-54,73
AP,Female,55-59,80
AP,Female,60-64,91
AP,Female,65-69,106
AP,Female,70-74,111
AP,Female,75-79,118
AP,Female,80-84,126
AP,Female,85-89,115
AP,Female,90+,140
AP,Male,0,158
AP,Male,01-04,30
AP,Male,05-09,16
AP,Male,10-14,17
AP,Male,15-19,136
AP,Male,20-24,155
AP,Male,25-29,96
AP,Male,30-34,89
AP,Male,35-39,72
AP,Male,40-44,78
AP,Male,45-49,91
AP,Male,50-54,108
AP,Male,55-59,141
AP,Male,60-64,164
AP,Male,65-69,160
AP,Male,70-74,162
AP,Male,75-79,151
AP,Male,80-84,122
AP,Male,85-89,98
AP,Male,90+,72
BA,Female,0,1269
BA,Female,01-04,184
BA,Female,05-09,107
BA,Female,10-14,141
BA,Female,15-19,276
BA,Female,20-24,339
BA,Female,25-29,418
BA,Female,30-34,572
BA,Female,35-39,821
BA,Female,40-44,1147
BA,Female,45-49,1214
BA,Female,50-54,1730
BA,Female,55-59,2129
BA,Female,60-64,2658
BA,Female,65-69,3182
BA,Female,70-74,3533
BA,Female,75-79,4354
BA,Female,80-84,4766
BA,Female,85-89,4516
BA,Female,90+,6255
BA,Male,0,1666
BA,Male,01-04,226
BA,Male,05-09,144
BA,Male,10-14,237
BA,Male,15-19,1554
BA,Male,20-24,2330
BA,Male,25-29,1820
BA,Male,30-34,1842
BA,Male,35-39,2008
BA,Male,40-44,2087
BA,Male,45-49,2357
BA,Male,50-54,3028
BA,Male,55-59,3600
BA,Male,60-64,4183
BA,Male,65-69,4493
BA,Male,70-74,4704
BA,Male,75-79,5008
BA,Male,80-84,4375
BA,Male,85-89,3726
BA,Male,90+,4041
CE,Female,0,718
CE,Female,01-04,103
CE,Female,05-09,76
CE,Female,10-14,90
CE,Female,15-19,157
CE,Female,20-24,231
CE,Female,25-29,241
CE,Female,30-34,323
CE,Female,35-39,402
CE,Female,40-44,530
CE,Female,45-49,656
CE,Female,50-54,934
CE,Female,55-59,1239
CE,Female,60-64,1506
CE,Female,65-69,1964
CE,Female,70-74,2415
CE,Female,75-79,2960
CE,Female,80-84,3432
CE,Female,85-89,3001
CE,Female,90+,4432
CE,Male,0,851
CE,Male,01-04,152
CE,Male,05-09,103
CE,Male,10-14,129
CE,Male,15-19,652
CE,Male,20-24,976
CE,Male,25-29,878
CE,Male,30-34,991
CE,Male,35-39,1050
CE,Male,40-44,1149
CE,Male,45-49,1392
CE,Male,50-54,1748
CE,Male,55-59,1975
CE,Male,60-64,2228
CE,Male,65-69,2548
CE,Male,70-74,2761
CE,Male,75-79,3058
CE,Male,80-84,3081
CE,Male,85-89,2424
CE,Male,90+,2946
DF,Female,0,149
DF,Female,01-04,31
DF,Female,05-09,18
DF,Female,10-14,20
DF,Female,15-19,38
DF,Female,20-24,38
DF,Female,25-29,59
DF,Female,30-34,69
DF,Female,35-39,132
DF,Female,40-44,148
DF,Female,45-49,208
DF,Female,50-54,278
DF,Female,55-59,344
DF,Female,60-64,421
DF,Female,65-69,483
DF,Female,70-74,572
DF,Female,75-79,693
DF,Female,80-84,703
DF,Female,85-89,668
DF,Female,90+,698
DF,Male,0,212
DF,Male,01-04,43
DF,Male,05-09,17
