sex,death_month,age_group,deaths_2019,State
Female,1,0,1387,Brazil
Female,1,01-04,196,Brazil
Female,1,05-09,91,Brazil
Female,1,10-14,162,Brazil
Female,1,15-19,263,Brazil
Female,1,20-24,373,Brazil
Female,1,25-29,431,Brazil
Female,1,30-34,631,Brazil
Female,1,35-39,885,Brazil
Female,1,40-44,1065,Brazil
Female,1,45-49,1440,Brazil
Female,1,50-54,2002,Brazil
Female,1,55-59,2752,Brazil
Female,1,60-64,3532,Brazil
Female,1,65-69,4194,Brazil
Female,1,70-74,4983,Brazil
Female,1,75-79,5481,Brazil
Female,1,80-84,6265,Brazil
Female,1,85-89,6016,Brazil
Female,1,90,6766,Brazil
Female,2,0,1262,Brazil
Female,2,01-04,155,Brazil
Female,2,05-09,80,Brazil
Female,2,10-14,128,Brazil
Female,2,15-19,280,Brazil
Female,2,20-24,343,Brazil
Female,2,25-29,399,Brazil
Female,2,30-34,608,Brazil
Female,2,35-39,785,Brazil
Female,2,40-44,1040,Brazil
Female,2,45-49,1331,Brazil
Female,2,50-54,1855,Brazil
Female,2,55-59,2421,Brazil
Female,2,60-64,3112,Brazil
Female,2,65-69,3775,Brazil
Female,2,70-74,4205,Brazil
Female,2,75-79,4950,Brazil
Female,2,80-84,5667,Brazil
Female,2,85-89,5308,Brazil
Female,2,90,5860,Brazil
Female,3,0,1370,Brazil
Female,3,01-04,203,Brazil
Female,3,05-09,127,Brazil
Female,3,10-14,138,Brazil
Female,3,15-19,282,Brazil
Female,3,20-24,385,Brazil
Female,3,25-29,465,Brazil
Female,3,30-34,577,Brazil
Female,3,35-39,923,Brazil
Female,3,40-44,1178,Brazil
Female,3,45-49,1502,Brazil
Female,3,50-54,1969,Brazil
Female,3,55-59,2751,Brazil
Female,3,60-64,3557,Brazil
Female,3,65-69,4221,Brazil
Female,3,70-74,4911,Brazil
Female,3,75-79,5389,Brazil
Female,3,80-84,6222,Brazil
Female,3,85-89,5975,Brazil
Female,3,90,6513,Brazil
Female,4,0,1436,Brazil
Female,4,01-04,244,Brazil
Female,4,05-09,122,Brazil
Female,4,10-14,136,Brazil
Female,4,15-19,293,Brazil
Female,4,20-24,381,Brazil
Female,4,25-29,427,Brazil
Female,4,30-34,605,Brazil
Female,4,35-39,896,Brazil
Female,4,40-44,1190,Brazil
Female,4,45-49,1532,Brazil
Female,4,50-54,2062,Brazil
Female,4,55-59,2689,Brazil
Female,4,60-64,3644,Brazil
Female,4,65-69,4256,Brazil
Female,4,70-74,4836,Brazil
Female,4,75-79,5635,Brazil
Female,4,80-84,6317,Brazil
Female,4,85-89,5849,Brazil
Female,4,90,6567,Brazil
Female,5,0,1473,Brazil
Female,5,01-04,225,Brazil
Female,5,05-09,132,Brazil
Female,5,10-14,143,Brazil
Female,5,15-19,291,Brazil
Female,5,20-24,390,Brazil
Female,5,25-29,449,Brazil
Female,5,30-34,651,Brazil
Female,5,35-39,934,Brazil
Female,5,40-44,1189,Brazil
Female,5,45-49,1585,Brazil
Female,5,50-54,2168,Brazil
Female,5,55-59,2994,Brazil
Female,5,60-64,3825,Brazil
Female,5,65-69,4717,Brazil
Female,5,70-74,5317,Brazil
Female,5,75-79,6158,Brazil
Female,5,80-84,6894,Brazil
Female,5,85-89,6424,Brazil
Female,5,90,7183,Brazil
Female,6,0,1336,Brazil
Female,6,01-04,255,Brazil
Female,6,05-09,136,Brazil
Female,6,10-14,122,Brazil
Female,6,15-19,328,Brazil
Female,6,20-24,406,Brazil
Female,6,25-29,459,Brazil
Female,6,30-34,611,Brazil
Female,6,35-39,879,Brazil
Female,6,40-44,1237,Brazil
Female,6,45-49,1565,Brazil
Female,6,50-54,2152,Brazil
Female,6,55-59,2934,Brazil
Female,6,60-64,3854,Brazil
Female,6,65-69,4655,Brazil
Female,6,70-74,5207,Brazil
Female,6,75-79,6158,Brazil
Female,6,80-84,6908,Brazil
Female,6,85-89,6674,Brazil
Female,6,90,7524,Brazil
Female,7,0,1304,Brazil
Female,7,01-04,197,Brazil
Female,7,05-09,119,Brazil
Female,7,10-14,168,Brazil
Female,7,15-19,272,Brazil
Female,7,20-24,409,Brazil
Female,7,25-29,452,Brazil
Female,7,30-34,596,Brazil
Female,7,35-39,926,Brazil
Female,7,40-44,1154,Brazil
Female,7,45-49,1538,Brazil
Female,7,50-54,2245,Brazil
Female,7,55-59,3105,Brazil
Female,7,60-64,4051,Brazil
Female,7,65-69,4917,Brazil
Female,7,70-74,5567,Brazil
Female,7,75-79,6486,Brazil
Female,7,80-84,7465,Brazil
Female,7,85-89,7260,Brazil
Female,7,90,8075,Brazil
Female,8,0,1290,Brazil
Female,8,01-04,222,Brazil
Female,8,05-09,120,Brazil
Female,8,10-14,150,Brazil
Female,8,15-19,270,Brazil
Female,8,20-24,356,Brazil
Female,8,25-29,430,Brazil
Female,8,30-34,627,Brazil
Female,8,35-39,868,Brazil
Female,8,40-44,1115,Brazil
Female,8,45-49,1535,Brazil
Female,8,50-54,2107,Brazil
Female,8,55-59,2936,Brazil
Female,8,60-64,3802,Brazil
Female,8,65-69,4785,Brazil
Female,8,70-74,5112,Brazil
Female,8,75-79,6300,Brazil
Female,8,80-84,6927,Brazil
Female,8,85-89,6641,Brazil
Female,8,90,7580,Brazil
Female,9,0,1148,Brazil
Female,9,01-04,227,Brazil
Female,9,05-09,111,Brazil
Female,9,10-14,141,Brazil
Female,9,15-19,271,Brazil
Female,9,20-24,364,Brazil
Female,9,25-29,451,Brazil
Female,9,30-34,607,Brazil
Female,9,35-39,829,Brazil
Female,9,40-44,1119,Brazil
Female,9,45-49,1490,Brazil
Female,9,50-54,2086,Brazil
Female,9,55-59,2721,Brazil
Female,9,60-64,3466,Brazil
Female,9,65-69,4417,Brazil
Female,9,70-74,4958,Brazil
Female,9,75-79,5846,Brazil
Female,9,80-84,6550,Brazil
Female,9,85-89,6405,Brazil
Female,9,90,7256,Brazil
Female,10,0,1202,Brazil
Female,10,01-04,207,Brazil
Female,10,05-09,119,Brazil
Female,10,10-14,137,Brazil
Female,10,15-19,271,Brazil
Female,10,20-24,381,Brazil
Female,10,25-29,449,Brazil
Female,10,30-34,556,Brazil
Female,10,35-39,854,Brazil
Female,10,40-44,1194,Brazil
Female,10,45-49,1454,Brazil
Female,10,50-54,2153,Brazil
Female,10,55-59,2804,Brazil
Female,10,60-64,3557,Brazil
Female,10,65-69,4365,Brazil
Female,10,70-74,4966,Brazil
Female,10,75-79,5740,Brazil
Female,10,80-84,6524,Brazil
Female,10,85-89,5997,Brazil
Female,10,90,7031,Brazil
Female,11,0,1197,Brazil
Female,11,01-04,216,Brazil
Female,11,05-09,100,Brazil
Female,11,10-14,125,Brazil
Female,11,15-19,263,Brazil
Female,11,20-24,423,Brazil
Female,11,25-29,461,Brazil
Female,11,30-34,600,Brazil
Female,11,35-39,764,Brazil
Female,11,40-44,1099,Brazil
Female,11,45-49,1376,Brazil
Female,11,50-54,1879,Brazil
Female,11,55-59,2628,Brazil
Female,11,60-64,3470,Brazil
Female,11,65-69,4138,Brazil
Female,11,70-74,4677,Brazil
Female,11,75-79,5384,Brazil
Female,11,80-84,6004,Brazil
Female,11,85-89,5712,Brazil
Female,11,90,6654,Brazil
Female,12,0,1219,Brazil
Female,12,01-04,193,Brazil
Female,12,05-09,128,Brazil
Female,12,10-14,155,Brazil
