Appendix 2a. 2020 All-cause and COVID-19 Deaths as Reported by the MOH,,,,
State,Sex,Age Group,All-cause Deaths,Covid-19 Deaths
Brazil,Female,0,13850,117
Brazil,Female,1-4,2084,84
Brazil,Female,5-9,1061,43
Brazil,Female,10-14,1544,58
Brazil,Female,15-19,3417,168
Brazil,Female,20-24,5001,321
Brazil,Female,25-29,5884,472
Brazil,Female,30-34,8107,818
Brazil,Female,35-39,12052,1441
Brazil,Female,40-44,16339,2110
Brazil,Female,45-49,20994,2823
Brazil,Female,50-54,28561,4003
Brazil,Female,55-59,38977,5759
Brazil,Female,60-64,51468,8203
Brazil,Female,65-69,62112,10084
Brazil,Female,70-74,71178,11115
Brazil,Female,75-79,76920,11270
Brazil,Female,80-84,87684,11479
Brazil,Female,85-89,78897,9160
Brazil,Female,90,90485,8124
Brazil,Male,0,17184,151
Brazil,Male,1-4,2456,74
Brazil,Male,5-9,1492,55
Brazil,Male,10-14,2290,62
Brazil,Male,15-19,13021,165
Brazil,Male,20-24,21514,361
Brazil,Male,25-29,19963,641
Brazil,Male,30-34,21592,1320
Brazil,Male,35-39,25747,2257
Brazil,Male,40-44,30865,3416
Brazil,Male,45-49,37389,4724
Brazil,Male,50-54,50141,6593
Brazil,Male,55-59,64978,9346
Brazil,Male,60-64,79658,12497
Brazil,Male,65-69,90778,15441
Brazil,Male,70-74,93827,16372
Brazil,Male,75-79,90291,15063
Brazil,Male,80-84,85381,13361
Brazil,Male,85-89,62821,9122
Brazil,Male,90,53553,6205
Brazil,Total,0,31034,268
Brazil,Total,1-4,4540,158
Brazil,Total,5-9,2553,98
Brazil,Total,10-14,3834,120
Brazil,Total,15-19,16438,333
Brazil,Total,20-24,26515,682
Brazil,Total,25-29,25847,1113
Brazil,Total,30-34,29699,2138
Brazil,Total,35-39,37799,3698
Brazil,Total,40-44,47204,5526
Brazil,Total,45-49,58383,7547
Brazil,Total,50-54,78702,10596
Brazil,Total,55-59,103955,15105
Brazil,Total,60-64,131126,20700
Brazil,Total,65-69,152890,25525
Brazil,Total,70-74,165005,27487
Brazil,Total,75-79,167211,26333
Brazil,Total,80-84,173065,24840
Brazil,Total,85-89,141718,18282
Brazil,Total,90,144038,14329
AC,Female,0,104,2
AC,Female,1-4,16,0
AC,Female,5-9,10,0
AC,Female,10-14,12,0
AC,Female,15-19,26,2
AC,Female,20-24,29,2
