state,sex,age_group,death_month,all_cause_deaths
Brazil,Total,0,1,2795
Brazil,Total,1-4,1,424
Brazil,Total,5-9,1,264
Brazil,Total,10-14,1,337
Brazil,Total,15-19,1,1447
Brazil,Total,20-24,1,2236
Brazil,Total,25-29,1,2044
Brazil,Total,30-34,1,2302
Brazil,Total,35-39,1,2825
Brazil,Total,40-44,1,3405
Brazil,Total,45-49,1,4198
Brazil,Total,50-54,1,5702
Brazil,Total,55-59,1,7277
Brazil,Total,60-64,1,8978
Brazil,Total,65-69,1,10451
Brazil,Total,70-74,1,11321
Brazil,Total,75-79,1,11634
Brazil,Total,80-84,1,12157
Brazil,Total,85-89,1,10296
Brazil,Total,90+,1,10544
Brazil,Total,0,2,2643
Brazil,Total,1-4,2,387
Brazil,Total,5-9,2,227
Brazil,Total,10-14,2,346
Brazil,Total,15-19,2,1449
Brazil,Total,20-24,2,2244
Brazil,Total,25-29,2,2095
Brazil,Total,30-34,2,2240
Brazil,Total,35-39,2,2697
Brazil,Total,40-44,2,3303
Brazil,Total,45-49,2,3998
Brazil,Total,50-54,2,5076
Brazil,Total,55-59,2,6970
Brazil,Total,60-64,2,8497
Brazil,Total,65-69,2,10044
Brazil,Total,70-74,2,10497
Brazil,Total,75-79,2,10848
Brazil,Total,80-84,2,11190
Brazil,Total,85-89,2,9546
Brazil,Total,90+,2,9610
Brazil,Total,0,3,2898
Brazil,Total,1-4,3,498
Brazil,Total,5-9,3,233
Brazil,Total,10-14,3,371
Brazil,Total,15-19,3,1565
Brazil,Total,20-24,3,2348
Brazil,Total,25-29,3,2116
Brazil,Total,30-34,3,2422
Brazil,Total,35-39,3,2981
Brazil,Total,40-44,3,3580
Brazil,Total,45-49,3,4363
Brazil,Total,50-54,3,5938
Brazil,Total,55-59,3,7716
Brazil,Total,60-64,3,9694
Brazil,Total,65-69,3,11240
Brazil,Total,70-74,3,11807
Brazil,Total,75-79,3,12573
Brazil,Total,80-84,3,12976
Brazil,Total,85-89,3,10913
Brazil,Total,90+,3,11135
Brazil,Total,0,4,2671
Brazil,Total,1-4,4,373
Brazil,Total,5-9,4,199
Brazil,Total,10-14,4,284
Brazil,Total,15-19,4,1437
Brazil,Total,20-24,4,2243
Brazil,Total,25-29,4,2127
Brazil,Total,30-34,4,2495
Brazil,Total,35-39,4,3130
Brazil,Total,40-44,4,3990
Brazil,Total,45-49,4,4777
Brazil,Total,50-54,4,6552
Brazil,Total,55-59,4,8473
Brazil,Total,60-64,4,10705
Brazil,Total,65-69,4,12139
Brazil,Total,70-74,4,13040
Brazil,Total,75-79,4,13091
Brazil,Total,80-84,4,13554
Brazil,Total,85-89,4,10894
Brazil,Total,90+,4,10923
Brazil,Total,0,5,2765
Brazil,Total,1-4,5,391
Brazil,Total,5-9,5,233
Brazil,Total,10-14,5,331
Brazil,Total,15-19,5,1332
Brazil,Total,20-24,5,2244
Brazil,Total,25-29,5,2250
Brazil,Total,30-34,5,2780
Brazil,Total,35-39,5,3682
Brazil,Total,40-44,5,4607
Brazil,Total,45-49,5,5846
Brazil,Total,50-54,5,8008
Brazil,Total,55-59,5,10687
Brazil,Total,60-64,5,13436
Brazil,Total,65-69,5,15879
Brazil,Total,70-74,5,17181
Brazil,Total,75-79,5,17117
Brazil,Total,80-84,5,17552
Brazil,Total,85-89,5,13681
Brazil,Total,90+,5,13984
Brazil,Total,0,6,2507
Brazil,Total,1-4,6,317
Brazil,Total,5-9,6,219
Brazil,Total,10-14,6,287
Brazil,Total,15-19,6,1260
Brazil,Total,20-24,6,2056
Brazil,Total,25-29,6,2171
Brazil,Total,30-34,6,2506
Brazil,Total,35-39,6,3211
Brazil,Total,40-44,6,4308
Brazil,Total,45-49,6,5336
Brazil,Total,50-54,6,7311
Brazil,Total,55-59,6,9463
Brazil,Total,60-64,6,12060
Brazil,Total,65-69,6,14122
Brazil,Total,70-74,6,15305
Brazil,Total,75-79,6,15527
Brazil,Total,80-84,6,16083
Brazil,Total,85-89,6,12962
Brazil,Total,90+,6,12996
Brazil,Total,0,7,2506
Brazil,Total,1-4,7,326
Brazil,Total,5-9,7,210
Brazil,Total,10-14,7,333
Brazil,Total,15-19,7,1237
Brazil,Total,20-24,7,2082
Brazil,Total,25-29,7,2096
Brazil,Total,30-34,7,2488
Brazil,Total,35-39,7,3443
Brazil,Total,40-44,7,4366
Brazil,Total,45-49,7,5376
Brazil,Total,50-54,7,7493
Brazil,Total,55-59,7,9942
Brazil,Total,60-64,7,12505
Brazil,Total,65-69,7,14738
Brazil,Total,70-74,7,15938
Brazil,Total,75-79,7,16164
Brazil,Total,80-84,7,16567
Brazil,Total,85-89,7,13429
Brazil,Total,90+,7,13477
Brazil,Total,0,8,2490
Brazil,Total,1-4,8,378
Brazil,Total,5-9,8,208
Brazil,Total,10-14,8,291
Brazil,Total,15-19,8,1314
Brazil,Total,20-24,8,2144
Brazil,Total,25-29,8,2058
Brazil,Total,30-34,8,2460
Brazil,Total,35-39,8,3318
Brazil,Total,40-44,8,4104
Brazil,Total,45-49,8,5256
Brazil,Total,50-54,8,7160
Brazil,Total,55-59,8,9492
Brazil,Total,60-64,8,12062
Brazil,Total,65-69,8,14022
Brazil,Total,70-74,8,15204
Brazil,Total,75-79,8,15544
Brazil,Total,80-84,8,16235
Brazil,Total,85-89,8,13227
Brazil,Total,90+,8,13569
Brazil,Total,0,9,2348
Brazil,Total,1-4,9,346
Brazil,Total,5-9,9,177
Brazil,Total,10-14,9,302
Brazil,Total,15-19,9,1286
Brazil,Total,20-24,9,2221
Brazil,Total,25-29,9,2140
Brazil,Total,30-34,9,2353
Brazil,Total,35-39,9,3033
Brazil,Total,40-44,9,3876
Brazil,Total,45-49,9,4806
Brazil,Total,50-54,9,6301
Brazil,Total,55-59,9,8519
Brazil,Total,60-64,9,10611
Brazil,Total,65-69,9,12395
Brazil,Total,70-74,9,13601
Brazil,Total,75-79,9,13504
Brazil,Total,80-84,9,14218
Brazil,Total,85-89,9,11780
Brazil,Total,90+,9,11989
Brazil,Total,0,10,2484
Brazil,Total,1-4,10,390
Brazil,Total,5-9,10,186
Brazil,Total,10-14,10,306
Brazil,Total,15-19,10,1476
Brazil,Total,20-24,10,2273
Brazil,Total,25-29,10,2317
Brazil,Total,30-34,10,2545
Brazil,Total,35-39,10,3067
Brazil,Total,40-44,10,3752
Brazil,Total,45-49,10,4790
Brazil,Total,50-54,10,6293
Brazil,Total,55-59,10,8298
Brazil,Total,60-64,10,10595
Brazil,Total,65-69,10,12400
Brazil,Total,70-74,10,13325
Brazil,Total,75-79,10,13634
Brazil,Total,80-84,10,14465
Brazil,Total,85-89,10,11886
Brazil,Total,90+,10,12384
Brazil,Total,0,11,2330
Brazil,Total,1-4,11,346
Brazil,Total,5-9,11,192
Brazil,Total,10-14,11,320
Brazil,Total,15-19,11,1304
Brazil,Total,20-24,11,2149
Brazil,Total,25-29,11,2170
Brazil,Total,30-34,11,2449
Brazil,Total,35-39,11,3030
Brazil,Total,40-44,11,3685
Brazil,Total,45-49,11,4467
Brazil,Total,50-54,11,5904
Brazil,Total,55-59,11,8116
Brazil,Total,60-64,11,10235
Brazil,Total,65-69,11,11593
Brazil,Total,70-74,11,12854
Brazil,Total,75-79,11,12902
Brazil,Total,80-84,11,13007
Brazil,Total,85-89,11,10810
Brazil,Total,90+,11,11131
Brazil,Total,0,12,2597
Brazil,Total,1-4,12,364
Brazil,Total,5-9,12,205
Brazil,Total,10-14,12,326
Brazil,Total,15-19,12,1331
Brazil,Total,20-24,12,2275
Brazil,Total,25-29,12,2263
Brazil,Total,30-34,12,2659
Brazil,Total,35-39,12,3382
Brazil,Total,40-44,12,4228
Brazil,Total,45-49,12,5170
Brazil,Total,50-54,12,6964
Brazil,Total,55-59,12,9002
Brazil,Total,60-64,12,11748
Brazil,Total,65-69,12,13867
Brazil,Total,70-74,12,14932
Brazil,Total,75-79,12,14673
Brazil,Total,80-84,12,15061
Brazil,Total,85-89,12,12294
Brazil,Total,90+,12,12296
Brazil,Female,0,1,1238
Brazil,Female,1-4,1,189
Brazil,Female,5-9,1,120
Brazil,Female,10-14,1,146
Brazil,Female,15-19,1,316
Brazil,Female,20-24,1,392
Brazil,Female,25-29,1,433
Brazil,Female,30-34,1,619
Brazil,Female,35-39,1,878
Brazil,Female,40-44,1,1195
Brazil,Female,45-49,1,1513
Brazil,Female,50-54,1,2055
Brazil,Female,55-59,1,2777
Brazil,Female,60-64,1,3491
Brazil,Female,65-69,1,4326
Brazil,Female,70-74,1,5020
Brazil,Female,75-79,1,5562
Brazil,Female,80-84,1,6384
Brazil,Female,85-89,1,5954
Brazil,Female,90+,1,6816
Brazil,Female,0,2,1158
Brazil,Female,1-4,2,173
Brazil,Female,5-9,2,116
Brazil,Female,10-14,2,128
Brazil,Female,15-19,2,276
Brazil,Female,20-24,2,385
Brazil,Female,25-29,2,439
Brazil,Female,30-34,2,594
Brazil,Female,35-39,2,814
Brazil,Female,40-44,2,1156
Brazil,Female,45-49,2,1432
Brazil,Female,50-54,2,1829
Brazil,Female,55-59,2,2665
Brazil,Female,60-64,2,3359
Brazil,Female,65-69,2,4164
Brazil,Female,70-74,2,4614
Brazil,Female,75-79,2,5072
Brazil,Female,80-84,2,5805
Brazil,Female,85-89,2,5395
Brazil,Female,90+,2,6182
Brazil,Female,0,3,1332
Brazil,Female,1-4,3,233
Brazil,Female,5-9,3,102
Brazil,Female,10-14,3,155
Brazil,Female,15-19,3,320
Brazil,Female,20-24,3,441
Brazil,Female,25-29,3,503
Brazil,Female,30-34,3,689
Brazil,Female,35-39,3,935
Brazil,Female,40-44,3,1261
Brazil,Female,45-49,3,1582
Brazil,Female,50-54,3,2236
Brazil,Female,55-59,3,2872
Brazil,Female,60-64,3,3874
Brazil,Female,65-69,3,4615
Brazil,Female,70-74,3,5161
Brazil,Female,75-79,3,5947
Brazil,Female,80-84,3,6752
Brazil,Female,85-89,3,6195
Brazil,Female,90+,3,7025
Brazil,Female,0,4,1195
Brazil,Female,1-4,4,177
Brazil,Female,5-9,4,76
Brazil,Female,10-14,4,112
Brazil,Female,15-19,4,272
Brazil,Female,20-24,4,389
Brazil,Female,25-29,4,438
Brazil,Female,30-34,4,627
Brazil,Female,35-39,4,996
Brazil,Female,40-44,4,1361
Brazil,Female,45-49,4,1730
Brazil,Female,50-54,4,2394
Brazil,Female,55-59,4,3136
Brazil,Female,60-64,4,4320
Brazil,Female,65-69,4,4880
Brazil,Female,70-74,4,5571
Brazil,Female,75-79,4,5936
Brazil,Female,80-84,4,6920
Brazil,Female,85-89,4,6068
Brazil,Female,90+,4,6890
Brazil,Female,0,5,1250
Brazil,Female,1-4,5,162
Brazil,Female,5-9,5,103
Brazil,Female,10-14,5,140
Brazil,Female,15-19,5,294
Brazil,Female,20-24,5,465
Brazil,Female,25-29,5,549
Brazil,Female,30-34,5,792
Brazil,Female,35-39,5,1177
Brazil,Female,40-44,5,1607
Brazil,Female,45-49,5,2090
Brazil,Female,50-54,5,2871
Brazil,Female,55-59,5,3964
Brazil,Female,60-64,5,5240
Brazil,Female,65-69,5,6314
Brazil,Female,70-74,5,7215
Brazil,Female,75-79,5,7738
Brazil,Female,80-84,5,8680
Brazil,Female,85-89,5,7393
Brazil,Female,90+,5,8528
Brazil,Female,0,6,1178
Brazil,Female,1-4,6,154
Brazil,Female,5-9,6,87
Brazil,Female,10-14,6,113
Brazil,Female,15-19,6,262
Brazil,Female,20-24,6,400
Brazil,Female,25-29,6,522
Brazil,Female,30-34,6,722
Brazil,Female,35-39,6,1078
Brazil,Female,40-44,6,1444
Brazil,Female,45-49,6,1912
Brazil,Female,50-54,6,2630
Brazil,Female,55-59,6,3584
Brazil,Female,60-64,6,4687
Brazil,Female,65-69,6,5640
Brazil,Female,70-74,6,6474
Brazil,Female,75-79,6,6938
Brazil,Female,80-84,6,7894
Brazil,Female,85-89,6,7066
Brazil,Female,90+,6,7882
Brazil,Female,0,7,1132
Brazil,Female,1-4,7,146
Brazil,Female,5-9,7,86
Brazil,Female,10-14,7,124
Brazil,Female,15-19,7,287
Brazil,Female,20-24,7,395
Brazil,Female,25-29,7,515
Brazil,Female,30-34,7,712
Brazil,Female,35-39,7,1162
Brazil,Female,40-44,7,1479
Brazil,Female,45-49,7,1973
Brazil,Female,50-54,7,2764
Brazil,Female,55-59,7,3673
Brazil,Female,60-64,7,4792
Brazil,Female,65-69,7,5886
Brazil,Female,70-74,7,6872
Brazil,Female,75-79,7,7275
Brazil,Female,80-84,7,8193
Brazil,Female,85-89,7,7341
Brazil,Female,90+,7,8301
Brazil,Female,0,8,1085
Brazil,Female,1-4,8,189
Brazil,Female,5-9,8,72
Brazil,Female,10-14,8,114
Brazil,Female,15-19,8,277
Brazil,Female,20-24,8,416
Brazil,Female,25-29,8,471
Brazil,Female,30-34,8,648
Brazil,Female,35-39,8,1087
Brazil,Female,40-44,8,1398
Brazil,Female,45-49,8,1848
Brazil,Female,50-54,8,2586
Brazil,Female,55-59,8,3482
Brazil,Female,60-64,8,4646
Brazil,Female,65-69,8,5666
Brazil,Female,70-74,8,6472
Brazil,Female,75-79,8,6996
Brazil,Female,80-84,8,8095
Brazil,Female,85-89,8,7209
Brazil,Female,90+,8,8448
Brazil,Female,0,9,1075
Brazil,Female,1-4,9,157
Brazil,Female,5-9,9,71
Brazil,Female,10-14,9,115
Brazil,Female,15-19,9,277
Brazil,Female,20-24,9,443
Brazil,Female,25-29,9,484
Brazil,Female,30-34,9,621
Brazil,Female,35-39,9,969
Brazil,Female,40-44,9,1421
Brazil,Female,45-49,9,1780
Brazil,Female,50-54,9,2262
Brazil,Female,55-59,9,3180
Brazil,Female,60-64,9,4150
Brazil,Female,65-69,9,5065
Brazil,Female,70-74,9,5946
Brazil,Female,75-79,9,6302
Brazil,Female,80-84,9,7259
Brazil,Female,85-89,9,6592
Brazil,Female,90+,9,7464
Brazil,Female,0,10,1055
Brazil,Female,1-4,10,185
Brazil,Female,5-9,10,56
Brazil,Female,10-14,10,126
Brazil,Female,15-19,10,291
Brazil,Female,20-24,10,439
Brazil,Female,25-29,10,504
Brazil,Female,30-34,10,669
Brazil,Female,35-39,10,944
Brazil,Female,40-44,10,1299
Brazil,Female,45-49,10,1697
Brazil,Female,50-54,10,2236
Brazil,Female,55-59,10,3148
Brazil,Female,60-64,10,4110
Brazil,Female,65-69,10,5244
Brazil,Female,70-74,10,5834
Brazil,Female,75-79,10,6339
Brazil,Female,80-84,10,7520
Brazil,Female,85-89,10,6829
Brazil,Female,90+,10,8026
Brazil,Female,0,11,1023
Brazil,Female,1-4,11,161
Brazil,Female,5-9,11,81
Brazil,Female,10-14,11,131
Brazil,Female,15-19,11,271
Brazil,Female,20-24,11,386
Brazil,Female,25-29,11,460
Brazil,Female,30-34,11,677
Brazil,Female,35-39,11,924
Brazil,Female,40-44,11,1243
Brazil,Female,45-49,11,1592
Brazil,Female,50-54,11,2157
Brazil,Female,55-59,11,3051
Brazil,Female,60-64,11,4068
Brazil,Female,65-69,11,4714
Brazil,Female,70-74,11,5573
Brazil,Female,75-79,11,6021
Brazil,Female,80-84,11,6621
Brazil,Female,85-89,11,6003
Brazil,Female,90+,11,7130
Brazil,Female,0,12,1129
Brazil,Female,1-4,12,158
Brazil,Female,5-9,12,91
Brazil,Female,10-14,12,140
Brazil,Female,15-19,12,274
Brazil,Female,20-24,12,450
Brazil,Female,25-29,12,566
Brazil,Female,30-34,12,737
Brazil,Female,35-39,12,1088
Brazil,Female,40-44,12,1475
Brazil,Female,45-49,12,1845
Brazil,Female,50-54,12,2541
Brazil,Female,55-59,12,3445
Brazil,Female,60-64,12,4731
Brazil,Female,65-69,12,5598
Brazil,Female,70-74,12,6426
Brazil,Female,75-79,12,6794
Brazil,Female,80-84,12,7561
Brazil,Female,85-89,12,6852
Brazil,Female,90+,12,7793
Brazil,Male,0,1,1557
Brazil,Male,1-4,1,235
Brazil,Male,5-9,1,144
Brazil,Male,10-14,1,191
Brazil,Male,15-19,1,1131
Brazil,Male,20-24,1,1844
Brazil,Male,25-29,1,1611
Brazil,Male,30-34,1,1683
Brazil,Male,35-39,1,1947
Brazil,Male,40-44,1,2210
Brazil,Male,45-49,1,2685
Brazil,Male,50-54,1,3647
Brazil,Male,55-59,1,4500
Brazil,Male,60-64,1,5487
Brazil,Male,65-69,1,6125
Brazil,Male,70-74,1,6301
Brazil,Male,75-79,1,6072
Brazil,Male,80-84,1,5773
Brazil,Male,85-89,1,4342
Brazil,Male,90+,1,3728
Brazil,Male,0,2,1485
Brazil,Male,1-4,2,214
Brazil,Male,5-9,2,111
Brazil,Male,10-14,2,218
Brazil,Male,15-19,2,1173
Brazil,Male,20-24,2,1859
Brazil,Male,25-29,2,1656
Brazil,Male,30-34,2,1646
Brazil,Male,35-39,2,1883
Brazil,Male,40-44,2,2147
Brazil,Male,45-49,2,2566
Brazil,Male,50-54,2,3247
Brazil,Male,55-59,2,4305
Brazil,Male,60-64,2,5138
Brazil,Male,65-69,2,5880
Brazil,Male,70-74,2,5883
Brazil,Male,75-79,2,5776
Brazil,Male,80-84,2,5385
Brazil,Male,85-89,2,4151
Brazil,Male,90+,2,3428
Brazil,Male,0,3,1566
Brazil,Male,1-4,3,265
Brazil,Male,5-9,3,131
Brazil,Male,10-14,3,216
Brazil,Male,15-19,3,1245
Brazil,Male,20-24,3,1907
Brazil,Male,25-29,3,1613
Brazil,Male,30-34,3,1733
Brazil,Male,35-39,3,2046
Brazil,Male,40-44,3,2319
Brazil,Male,45-49,3,2781
Brazil,Male,50-54,3,3702
Brazil,Male,55-59,3,4844
Brazil,Male,60-64,3,5820
Brazil,Male,65-69,3,6625
Brazil,Male,70-74,3,6646
Brazil,Male,75-79,3,6626
Brazil,Male,80-84,3,6224
Brazil,Male,85-89,3,4718
Brazil,Male,90+,3,4110
Brazil,Male,0,4,1476
Brazil,Male,1-4,4,196
Brazil,Male,5-9,4,123
Brazil,Male,10-14,4,172
Brazil,Male,15-19,4,1165
Brazil,Male,20-24,4,1854
Brazil,Male,25-29,4,1689
Brazil,Male,30-34,4,1868
Brazil,Male,35-39,4,2134
Brazil,Male,40-44,4,2629
Brazil,Male,45-49,4,3047
Brazil,Male,50-54,4,4158
Brazil,Male,55-59,4,5337
Brazil,Male,60-64,4,6385
Brazil,Male,65-69,4,7259
