"Appendix 1b. Person-years by State, Sex, and Age Group for 2019",,,
State,Sex,Age Group,2019 Person-years
Brazil,Female,0,1445404
Brazil,Female,1-4,5780752
Brazil,Female,5-9,7106517
Brazil,Female,10-14,7347189
Brazil,Female,15-19,7901907
Brazil,Female,20-24,8575701
Brazil,Female,25-29,8520693
Brazil,Female,30-34,8710050
Brazil,Female,35-39,8607120
Brazil,Female,40-44,7846398
Brazil,Female,45-49,6957753
Brazil,Female,50-54,6495558
Brazil,Female,55-59,5818140
Brazil,Female,60-64,4869385
Brazil,Female,65-69,3856190
Brazil,Female,70-74,2869209
Brazil,Female,75-79,1990588
Brazil,Female,80-84,1359304
Brazil,Female,85-89,752202
Brazil,Female,90+,516726
Brazil,Male,0,1514813
Brazil,Male,1-4,6055226
Brazil,Male,5-9,7435305
Brazil,Male,10-14,7669536
Brazil,Male,15-19,8192052
Brazil,Male,20-24,8742078
Brazil,Male,25-29,8485882
Brazil,Male,30-34,8548755
Brazil,Male,35-39,8255148
Brazil,Male,40-44,7391992
Brazil,Male,45-49,6467958
Brazil,Male,50-54,5959892
Brazil,Male,55-59,5179389
Brazil,Male,60-64,4205926
Brazil,Male,65-69,3209701
Brazil,Male,70-74,2289975
Brazil,Male,75-79,1479628
Brazil,Male,80-84,914565
Brazil,Male,85-89,449122
Brazil,Male,90+,250464
Brazil,Total,0,2960218
Brazil,Total,1-4,11835978
Brazil,Total,5-9,14541822
Brazil,Total,10-14,15016724
Brazil,Total,15-19,16093959
Brazil,Total,20-24,17317778
Brazil,Total,25-29,17006574
Brazil,Total,30-34,17258804
Brazil,Total,35-39,16862268
Brazil,Total,40-44,15238390
Brazil,Total,45-49,13425710
Brazil,Total,50-54,12455451
Brazil,Total,55-59,10997528
Brazil,Total,60-64,9075311
Brazil,Total,65-69,7065890
Brazil,Total,70-74,5159183
Brazil,Total,75-79,3470216
Brazil,Total,80-84,2273869
Brazil,Total,85-89,1201323
Brazil,Total,90+,767190
AC,Female,0,8221
AC,Female,1-4,32576
AC,Female,5-9,41225
AC,Female,10-14,44951
AC,Female,15-19,45419
AC,Female,20-24,42415
AC,Female,25-29,37585
AC,Female,30-34,34820
AC,Female,35-39,33345
AC,Female,40-44,28539
AC,Female,45-49,22765
AC,Female,50-54,18762
AC,Female,55-59,14418
AC,Female,60-64,11488
AC,Female,65-69,8560
AC,Female,70-74,6115
AC,Female,75-79,4404
AC,Female,80-84,2563
AC,Female,85-89,1343
AC,Female,90+,874
AC,Male,0,8611
AC,Male,1-4,34160
AC,Male,5-9,43111
AC,Male,10-14,46569
AC,Male,15-19,46883
AC,Male,20-24,43153
AC,Male,25-29,37140
AC,Male,30-34,34457
AC,Male,35-39,32247
AC,Male,40-44,27435
AC,Male,45-49,22174
AC,Male,50-54,18184
AC,Male,55-59,14026
AC,Male,60-64,11015
AC,Male,65-69,8262
AC,Male,70-74,5759
AC,Male,75-79,3680
AC,Male,80-84,2141
AC,Male,85-89,1141
AC,Male,90+,709
AC,Total,0,16833
AC,Total,1-4,66737
AC,Total,5-9,84336
AC,Total,10-14,91520
AC,Total,15-19,92302
AC,Total,20-24,85568
AC,Total,25-29,74725
AC,Total,30-34,69277
AC,Total,35-39,65592
AC,Total,40-44,55974
AC,Total,45-49,44939
AC,Total,50-54,36946
AC,Total,55-59,28444
AC,Total,60-64,22503
AC,Total,65-69,16822
AC,Total,70-74,11874
AC,Total,75-79,8084
AC,Total,80-84,4704
AC,Total,85-89,2484
AC,Total,90+,1583
AL,Female,0,24834
AL,Female,1-4,99149
AL,Female,5-9,129293
AL,Female,10-14,140897
AL,Female,15-19,155071
AL,Female,20-24,158012
AL,Female,25-29,142492
AL,Female,30-34,138720
AL,Female,35-39,134323
AL,Female,40-44,122417
AL,Female,45-49,106243
AL,Female,50-54,95541
AL,Female,55-59,77848
AL,Female,60-64,63967
AL,Female,65-69,51523
AL,Female,70-74,37565
AL,Female,75-79,26236
AL,Female,80-84,16732
AL,Female,85-89,8703
AL,Female,90+,5484
AL,Male,0,26040
AL,Male,1-4,103844
AL,Male,5-9,135097
AL,Male,10-14,146501
AL,Male,15-19,157970
AL,Male,20-24,156137
AL,Male,25-29,131952
AL,Male,30-34,121311
AL,Male,35-39,117900
AL,Male,40-44,106281
AL,Male,45-49,90569
AL,Male,50-54,81292
AL,Male,55-59,66033
AL,Male,60-64,51928
AL,Male,65-69,40570
AL,Male,70-74,29664
AL,Male,75-79,18920
AL,Male,80-84,10632
AL,Male,85-89,4892
AL,Male,90+,2912
AL,Total,0,50874
AL,Total,1-4,202993
AL,Total,5-9,264390
AL,Total,10-14,287398
AL,Total,15-19,313040
AL,Total,20-24,314150
AL,Total,25-29,274443
AL,Total,30-34,260031
AL,Total,35-39,252223
AL,Total,40-44,228699
AL,Total,45-49,196812
AL,Total,50-54,176833
AL,Total,55-59,143881
AL,Total,60-64,115895
AL,Total,65-69,92093
AL,Total,70-74,67228
AL,Total,75-79,45156
AL,Total,80-84,27364
AL,Total,85-89,13595
AL,Total,90+,8396
AM,Female,0,39774
AM,Female,1-4,158916
AM,Female,5-9,196914
AM,Female,10-14,193978
AM,Female,15-19,192377
AM,Female,20-24,199680
AM,Female,25-29,183001
AM,Female,30-34,169908
AM,Female,35-39,159099
AM,Female,40-44,136866
AM,Female,45-49,109727
AM,Female,50-54,87901
AM,Female,55-59,70992
AM,Female,60-64,55064
AM,Female,65-69,40172
AM,Female,70-74,27381
AM,Female,75-79,18481
AM,Female,80-84,11431
AM,Female,85-89,6056
AM,Female,90+,3987
AM,Male,0,41611
AM,Male,1-4,166277
AM,Male,5-9,205980
AM,Male,10-14,202542
AM,Male,15-19,199739
AM,Male,20-24,202077
AM,Male,25-29,180351
AM,Male,30-34,168899
AM,Male,35-39,157107
AM,Male,40-44,134854
AM,Male,45-49,109558
AM,Male,50-54,91044
AM,Male,55-59,71543
AM,Male,60-64,53698
AM,Male,65-69,37904
AM,Male,70-74,24779
AM,Male,75-79,16030
AM,Male,80-84,8916
AM,Male,85-89,4343
AM,Male,90+,2267
AM,Total,0,81385
AM,Total,1-4,325193
AM,Total,5-9,402894
AM,Total,10-14,396520
AM,Total,15-19,392116
AM,Total,20-24,401757
AM,Total,25-29,363352
AM,Total,30-34,338808
AM,Total,35-39,316206
AM,Total,40-44,271720
AM,Total,45-49,219285
AM,Total,50-54,178946
AM,Total,55-59,142535
AM,Total,60-64,108762
AM,Total,65-69,78076
AM,Total,70-74,52160
AM,Total,75-79,34511
AM,Total,80-84,20346
AM,Total,85-89,10399
AM,Total,90+,6255
AP,Female,0,7762
AP,Female,1-4,31634
AP,Female,5-9,39210
AP,Female,10-14,39418
AP,Female,15-19,42175
AP,Female,20-24,41745
AP,Female,25-29,39235
AP,Female,30-34,36699
AP,Female,35-39,33536
AP,Female,40-44,28126
AP,Female,45-49,22767
AP,Female,50-54,17397
AP,Female,55-59,13240
AP,Female,60-64,10145
AP,Female,65-69,6980
AP,Female,70-74,4465
AP,Female,75-79,3349
AP,Female,80-84,2024
AP,Female,85-89,1098
AP,Female,90+,839
AP,Male,0,8141
AP,Male,1-4,33164
AP,Male,5-9,41047
AP,Male,10-14,40931
AP,Male,15-19,42881
AP,Male,20-24,41301
AP,Male,25-29,38767
AP,Male,30-34,35884
AP,Male,35-39,31973
AP,Male,40-44,26976
AP,Male,45-49,22625
AP,Male,50-54,17975
AP,Male,55-59,13788
AP,Male,60-64,10439
AP,Male,65-69,6929
AP,Male,70-74,4342
AP,Male,75-79,2963
AP,Male,80-84,1628
AP,Male,85-89,814
AP,Male,90+,511
AP,Total,0,15903
AP,Total,1-4,64798
AP,Total,5-9,80258
AP,Total,10-14,80349
AP,Total,15-19,85055
AP,Total,20-24,83046
AP,Total,25-29,78002
AP,Total,30-34,72584
AP,Total,35-39,65508
AP,Total,40-44,55101
AP,Total,45-49,45391
AP,Total,50-54,35373
AP,Total,55-59,27028
AP,Total,60-64,20584
AP,Total,65-69,13909
AP,Total,70-74,8807
AP,Total,75-79,6312
AP,Total,80-84,3652
AP,Total,85-89,1913
AP,Total,90+,1350
BA,Female,0,100934
BA,Female,1-4,401497
BA,Female,5-9,509954
BA,Female,10-14,556207
BA,Female,15-19,604823
BA,Female,20-24,632283
BA,Female,25-29,614832
BA,Female,30-34,630775
BA,Female,35-39,645071
BA,Female,40-44,570414
BA,Female,45-49,483152
BA,Female,50-54,440699
BA,Female,55-59,374361
BA,Female,60-64,312842
BA,Female,65-69,245698
BA,Female,70-74,190862
BA,Female,75-79,138536
BA,Female,80-84,93919
BA,Female,85-89,52263
BA,Female,90+,37062
BA,Male,0,105840
BA,Male,1-4,420780
BA,Male,5-9,533596
BA,Male,10-14,580164
BA,Male,15-19,625229
BA,Male,20-24,640441
BA,Male,25-29,590112
BA,Male,30-34,585985
BA,Male,35-39,596215
BA,Male,40-44,527784
BA,Male,45-49,443638
BA,Male,50-54,402278
BA,Male,55-59,335267
BA,Male,60-64,270288
BA,Male,65-69,204501
BA,Male,70-74,154340
BA,Male,75-79,102580
BA,Male,80-84,62154
BA,Male,85-89,30180
BA,Male,90+,19068
BA,Total,0,206773
BA,Total,1-4,822277
BA,Total,5-9,1043551
BA,Total,10-14,1136370
BA,Total,15-19,1230052
BA,Total,20-24,1272724
BA,Total,25-29,1204945
BA,Total,30-34,1216760
BA,Total,35-39,1241286
BA,Total,40-44,1098198
BA,Total,45-49,926789
BA,Total,50-54,842977
BA,Total,55-59,709628
BA,Total,60-64,583130
BA,Total,65-69,450199
BA,Total,70-74,345202
BA,Total,75-79,241116
BA,Total,80-84,156074
BA,Total,85-89,82444
BA,Total,90+,56129
CE,Female,0,64527
CE,Female,1-4,256716
CE,Female,5-9,314468
CE,Female,10-14,336970
CE,Female,15-19,366258
CE,Female,20-24,414999
CE,Female,25-29,408229
CE,Female,30-34,401541
CE,Female,35-39,365958
CE,Female,40-44,327308
CE,Female,45-49,290714
CE,Female,50-54,271308
CE,Female,55-59,232750
CE,Female,60-64,182027
CE,Female,65-69,149968
CE,Female,70-74,118885
CE,Female,75-79,83877
CE,Female,80-84,60420
CE,Female,85-89,31013
CE,Female,90+,20585
CE,Male,0,67624
CE,Male,1-4,268926
CE,Male,5-9,328832
CE,Male,10-14,351077
CE,Male,15-19,378052
CE,Male,20-24,420301
CE,Male,25-29,394908
CE,Male,30-34,377253
CE,Male,35-39,341217
CE,Male,40-44,299541
CE,Male,45-49,260495
CE,Male,50-54,240213
CE,Male,55-59,202523
CE,Male,60-64,148893
CE,Male,65-69,119896
CE,Male,70-74,94569
