"Appendix 1a. Person-years by State, Sex, and Age Group for 2020",,,
State,Sex,Age Group,2020 Person-years
AC,Female,0,8186
AC,Female,1-4,32328
AC,Female,5-9,41465
AC,Female,10-14,43967
AC,Female,15-19,45532
AC,Female,20-24,43224
AC,Female,25-29,38397
AC,Female,30-34,35063
AC,Female,35-39,33842
AC,Female,40-44,29639
AC,Female,45-49,23647
AC,Female,50-54,19563
AC,Female,55-59,14999
AC,Female,60-64,11933
AC,Female,65-69,8990
AC,Female,70-74,6365
AC,Female,75-79,4622
AC,Female,80-84,2722
AC,Female,85-89,1409
AC,Female,90+,918
AC,Male,0,8575
AC,Male,1-4,33907
AC,Male,5-9,43374
AC,Male,10-14,45591
AC,Male,15-19,47010
AC,Male,20-24,44171
AC,Male,25-29,38008
AC,Male,30-34,34742
AC,Male,35-39,32814
AC,Male,40-44,28387
AC,Male,45-49,22957
AC,Male,50-54,18889
AC,Male,55-59,14570
AC,Male,60-64,11407
AC,Male,65-69,8596
AC,Male,70-74,6002
AC,Male,75-79,3842
AC,Male,80-84,2214
AC,Male,85-89,1161
AC,Male,90+,732
AC,Total,0,16761
AC,Total,1-4,66235
AC,Total,5-9,84839
AC,Total,10-14,89558
AC,Total,15-19,92542
AC,Total,20-24,87395
AC,Total,25-29,76405
AC,Total,30-34,69805
AC,Total,35-39,66657
AC,Total,40-44,58026
AC,Total,45-49,46603
AC,Total,50-54,38451
AC,Total,55-59,29570
AC,Total,60-64,23341
AC,Total,65-69,17586
AC,Total,70-74,12367
AC,Total,75-79,8464
AC,Total,80-84,4936
AC,Total,85-89,2569
AC,Total,90+,1650
AL,Female,0,24630
AL,Female,1-4,98383
AL,Female,5-9,127688
AL,Female,10-14,137526
AL,Female,15-19,151186
AL,Female,20-24,158239
AL,Female,25-29,143494
AL,Female,30-34,138400
AL,Female,35-39,135211
AL,Female,40-44,125118
AL,Female,45-49,108201
AL,Female,50-54,97875
AL,Female,55-59,80469
AL,Female,60-64,65730
AL,Female,65-69,53261
AL,Female,70-74,39129
AL,Female,75-79,27206
AL,Female,80-84,17439
AL,Female,85-89,9127
AL,Female,90+,5713
AL,Male,0,25829
AL,Male,1-4,103074
AL,Male,5-9,133505
AL,Male,10-14,143319
AL,Male,15-19,154267
AL,Male,20-24,156828
AL,Male,25-29,134000
AL,Male,30-34,120868
AL,Male,35-39,118123
AL,Male,40-44,108526
AL,Male,45-49,91979
AL,Male,50-54,82816
AL,Male,55-59,68074
AL,Male,60-64,53459
AL,Male,65-69,41575
AL,Male,70-74,30603
AL,Male,75-79,19614
AL,Male,80-84,11044
AL,Male,85-89,5058
AL,Male,90+,2943
AL,Total,0,50458
AL,Total,1-4,201457
AL,Total,5-9,261193
AL,Total,10-14,280845
AL,Total,15-19,305453
AL,Total,20-24,315067
AL,Total,25-29,277494
AL,Total,30-34,259268
AL,Total,35-39,253335
AL,Total,40-44,233644
AL,Total,45-49,200180
AL,Total,50-54,180691
AL,Total,55-59,148542
AL,Total,60-64,119189
AL,Total,65-69,94836
AL,Total,70-74,69732
AL,Total,75-79,46820
AL,Total,80-84,28484
AL,Total,85-89,14185
AL,Total,90+,8657
AM,Female,0,39587
AM,Female,1-4,157782
AM,Female,5-9,198815
AM,Female,10-14,195194
AM,Female,15-19,190404
AM,Female,20-24,200853
AM,Female,25-29,186265
AM,Female,30-34,171817
AM,Female,35-39,161851
AM,Female,40-44,141704
AM,Female,45-49,114431
AM,Female,50-54,91353
AM,Female,55-59,73631
AM,Female,60-64,57511
AM,Female,65-69,42253
AM,Female,70-74,28797
AM,Female,75-79,19256
AM,Female,80-84,11913
AM,Female,85-89,6322
AM,Female,90+,4126
AM,Male,0,41419
AM,Male,1-4,165091
AM,Male,5-9,207984
AM,Male,10-14,203877
AM,Male,15-19,197926
AM,Male,20-24,204214
AM,Male,25-29,183650
AM,Male,30-34,170575
AM,Male,35-39,159791
AM,Male,40-44,139427
AM,Male,45-49,113333
AM,Male,50-54,94147
AM,Male,55-59,74364
AM,Male,60-64,56068
AM,Male,65-69,39815
AM,Male,70-74,25885
AM,Male,75-79,16636
AM,Male,80-84,9233
AM,Male,85-89,4475
AM,Male,90+,2328
AM,Total,0,81006
AM,Total,1-4,322873
AM,Total,5-9,406799
AM,Total,10-14,399071
AM,Total,15-19,388330
AM,Total,20-24,405067
AM,Total,25-29,369916
AM,Total,30-34,342393
AM,Total,35-39,321642
AM,Total,40-44,281131
AM,Total,45-49,227765
AM,Total,50-54,185499
AM,Total,55-59,147995
AM,Total,60-64,113579
AM,Total,65-69,82068
AM,Total,70-74,54682
AM,Total,75-79,35892
AM,Total,80-84,21145
AM,Total,85-89,10797
AM,Total,90+,6455
AP,Female,0,7741
AP,Female,1-4,31404
AP,Female,5-9,39358
AP,Female,10-14,39755
AP,Female,15-19,41781
AP,Female,20-24,42275
AP,Female,25-29,40008
AP,Female,30-34,37323
AP,Female,35-39,34487
AP,Female,40-44,29183
AP,Female,45-49,23845
AP,Female,50-54,18322
AP,Female,55-59,13885
AP,Female,60-64,10674
AP,Female,65-69,7488
AP,Female,70-74,4691
AP,Female,75-79,3483
AP,Female,80-84,2133
AP,Female,85-89,1167
AP,Female,90+,878
AP,Male,0,8119
AP,Male,1-4,32924
AP,Male,5-9,41204
AP,Male,10-14,41289
AP,Male,15-19,42622
AP,Male,20-24,41926
AP,Male,25-29,39479
AP,Male,30-34,36707
AP,Male,35-39,32914
AP,Male,40-44,27919
AP,Male,45-49,23484
AP,Male,50-54,18826
AP,Male,55-59,14437
AP,Male,60-64,10988
AP,Male,65-69,7439
AP,Male,70-74,4569
AP,Male,75-79,3087
AP,Male,80-84,1723
AP,Male,85-89,854
AP,Male,90+,538
AP,Total,0,15860
AP,Total,1-4,64328
AP,Total,5-9,80562
AP,Total,10-14,81044
AP,Total,15-19,84403
AP,Total,20-24,84200
AP,Total,25-29,79487
AP,Total,30-34,74030
AP,Total,35-39,67401
AP,Total,40-44,57102
AP,Total,45-49,47329
AP,Total,50-54,37148
AP,Total,55-59,28322
AP,Total,60-64,21663
AP,Total,65-69,14928
AP,Total,70-74,9260
AP,Total,75-79,6570
AP,Total,80-84,3856
AP,Total,85-89,2020
AP,Total,90+,1416
BA,Female,0,99901
BA,Female,1-4,400942
BA,Female,5-9,504432
BA,Female,10-14,544124
BA,Female,15-19,592093
BA,Female,20-24,627131
BA,Female,25-29,612207
BA,Female,30-34,621451
BA,Female,35-39,648636
BA,Female,40-44,587517
BA,Female,45-49,493459
BA,Female,50-54,449300
BA,Female,55-59,384155
BA,Female,60-64,322942
BA,Female,65-69,254224
BA,Female,70-74,197355
BA,Female,75-79,142964
BA,Female,80-84,97448
BA,Female,85-89,54338
BA,Female,90+,38378
BA,Male,0,104772
BA,Male,1-4,420278
BA,Male,5-9,528028
BA,Male,10-14,568224
BA,Male,15-19,612339
BA,Male,20-24,637002
BA,Male,25-29,590504
BA,Male,30-34,576566
BA,Male,35-39,597252
BA,Male,40-44,542371
BA,Male,45-49,451881
BA,Male,50-54,409156
BA,Male,55-59,343684
BA,Male,60-64,279161
BA,Male,65-69,210577
BA,Male,70-74,158799
BA,Male,75-79,105706
BA,Male,80-84,64186
BA,Male,85-89,30996
BA,Male,90+,19256
BA,Total,0,204673
BA,Total,1-4,821220
BA,Total,5-9,1032460
BA,Total,10-14,1112348
BA,Total,15-19,1204432
BA,Total,20-24,1264133
BA,Total,25-29,1202711
BA,Total,30-34,1198017
BA,Total,35-39,1245888
BA,Total,40-44,1129888
BA,Total,45-49,945340
BA,Total,50-54,858456
BA,Total,55-59,727839
BA,Total,60-64,602102
BA,Total,65-69,464801
BA,Total,70-74,356154
BA,Total,75-79,248669
BA,Total,80-84,161634
BA,Total,85-89,85335
BA,Total,90+,57634
Brazil,Female,0,1436265
Brazil,Female,1-4,5757996
Brazil,Female,5-9,7156472
Brazil,Female,10-14,7246179
Brazil,Female,15-19,7754649
Brazil,Female,20-24,8522432
Brazil,Female,25-29,8501974
Brazil,Female,30-34,8673660
Brazil,Female,35-39,8675820
Brazil,Female,40-44,8020316
Brazil,Female,45-49,7070494
Brazil,Female,50-54,6572430
Brazil,Female,55-59,5944365
Brazil,Female,60-64,5024648
Brazil,Female,65-69,4003616
Brazil,Female,70-74,3001523
Brazil,Female,75-79,2065963
Brazil,Female,80-84,1408279
Brazil,Female,85-89,783502
Brazil,Female,90+,545064
Brazil,Male,0,1505350
Brazil,Male,1-4,6032059
Brazil,Male,5-9,7489242
Brazil,Male,10-14,7567707
Brazil,Male,15-19,8047665
Brazil,Male,20-24,8713348
Brazil,Male,25-29,8483610
Brazil,Male,30-34,8532728
Brazil,Male,35-39,8342757
Brazil,Male,40-44,7566386
Brazil,Male,45-49,6570555
Brazil,Male,50-54,6035786
Brazil,Male,55-59,5298488
Brazil,Male,60-64,4341666
Brazil,Male,65-69,3328336
Brazil,Male,70-74,2390742
Brazil,Male,75-79,1536002
Brazil,Male,80-84,947695
Brazil,Male,85-89,467856
Brazil,Male,90+,262452
Brazil,Total,0,2941615
Brazil,Total,1-4,11790055
Brazil,Total,5-9,14645714
Brazil,Total,10-14,14813886
Brazil,Total,15-19,15802314
Brazil,Total,20-24,17235778
Brazil,Total,25-29,16985583
Brazil,Total,30-34,17206387
Brazil,Total,35-39,17018577
Brazil,Total,40-44,15586702
Brazil,Total,45-49,13641049
Brazil,Total,50-54,12608216
Brazil,Total,55-59,11242853
Brazil,Total,60-64,9366314
Brazil,Total,65-69,7331952
Brazil,Total,70-74,5392265
Brazil,Total,75-79,3601965
Brazil,Total,80-84,2355974
Brazil,Total,85-89,1251358
Brazil,Total,90+,807515
CE,Female,0,64068
CE,Female,1-4,256687
CE,Female,5-9,314421
CE,Female,10-14,332013
CE,Female,15-19,355118
CE,Female,20-24,409169
CE,Female,25-29,407285
CE,Female,30-34,404572
CE,Female,35-39,372780
CE,Female,40-44,335019
CE,Female,45-49,294735
CE,Female,50-54,275141
CE,Female,55-59,240856
CE,Female,60-64,188670
CE,Female,65-69,153552
CE,Female,70-74,123143
CE,Female,75-79,85888
CE,Female,80-84,62432
CE,Female,85-89,32147
CE,Female,90+,21071
CE,Male,0,67149
CE,Male,1-4,268940
CE,Male,5-9,328904
CE,Male,10-14,346229
CE,Male,15-19,366596
CE,Male,20-24,415720
CE,Male,25-29,396154
CE,Male,30-34,379983
CE,Male,35-39,347358
CE,Male,40-44,306786
CE,Male,45-49,264248
CE,Male,50-54,242858
CE,Male,55-59,210230
CE,Male,60-64,154946
CE,Male,65-69,122057
CE,Male,70-74,97163
CE,Male,75-79,65031
CE,Male,80-84,42380
CE,Male,85-89,19569
CE,Male,90+,11736
CE,Total,0,131217
CE,Total,1-4,525628
CE,Total,5-9,643325
CE,Total,10-14,678242
CE,Total,15-19,721714
CE,Total,20-24,824889
CE,Total,25-29,803440
CE,Total,30-34,784555
CE,Total,35-39,720138
CE,Total,40-44,641805
CE,Total,45-49,558983
CE,Total,50-54,517999
CE,Total,55-59,451086
CE,Total,60-64,343616
CE,Total,65-69,275610
CE,Total,70-74,220307
CE,Total,75-79,150919
CE,Total,80-84,104812
CE,Total,85-89,51716
CE,Total,90+,32807
DF,Female,0,21103
DF,Female,1-4,79225
DF,Female,5-9,91844
DF,Female,10-14,101417
DF,Female,15-19,118031
DF,Female,20-24,126308
DF,Female,25-29,129513
DF,Female,30-34,136891
DF,Female,35-39,147300
DF,Female,40-44,137624
DF,Female,45-49,114002
DF,Female,50-54,98776
DF,Female,55-59,83007
DF,Female,60-64,64933
