"Appendix 1a. Projected Population for March 2021 by State, Sex, and Age Group",,,
* (projected by authors from IBGE mid-year population projections),,,
State,Sex,Age Group,Population
Brazil,Female,0," 1,429,663 "
Brazil,Female,01-04," 5,754,824 "
Brazil,Female,05-09," 7,170,982 "
Brazil,Female,10-14," 7,189,212 "
Brazil,Female,15-19," 7,660,722 "
Brazil,Female,20-24," 8,455,239 "
Brazil,Female,25-29," 8,502,384 "
Brazil,Female,30-34," 8,644,222 "
Brazil,Female,35-39," 8,703,669 "
Brazil,Female,40-44," 8,133,660 "
Brazil,Female,45-49," 7,171,299 "
Brazil,Female,50-54," 6,622,865 "
Brazil,Female,55-59," 6,027,017 "
Brazil,Female,60-64," 5,135,072 "
Brazil,Female,65-69," 4,112,007 "
Brazil,Female,70-74," 3,097,981 "
Brazil,Female,75-79," 2,132,843 "
Brazil,Female,80-84," 1,444,108 "
Brazil,Female,85-89," 812,231 "
Brazil,Female,90+," 568,965 "
Brazil,Male,0," 1,498,608 "
Brazil,Male,01-04," 6,029,179 "
Brazil,Male,05-09," 7,505,373 "
Brazil,Male,10-14," 7,510,534 "
Brazil,Male,15-19," 7,955,339 "
Brazil,Male,20-24," 8,660,843 "
Brazil,Male,25-29," 8,500,376 "
Brazil,Male,30-34," 8,514,648 "
Brazil,Male,35-39," 8,387,595 "
Brazil,Male,40-44," 7,682,879 "
Brazil,Male,45-49," 6,665,859 "
Brazil,Male,50-54," 6,083,974 "
Brazil,Male,55-59," 5,380,486 "
Brazil,Male,60-64," 4,439,982 "
Brazil,Male,65-69," 3,419,109 "
Brazil,Male,70-74," 2,465,734 "
Brazil,Male,75-79," 1,587,197 "
Brazil,Male,80-84," 973,267 "
Brazil,Male,85-89," 485,918 "
Brazil,Male,90+," 273,339 "
Brazil,Total,0," 2,928,271 "
Brazil,Total,01-04," 11,784,004 "
Brazil,Total,05-09," 14,676,355 "
Brazil,Total,10-14," 14,699,746 "
Brazil,Total,15-19," 15,616,061 "
Brazil,Total,20-24," 17,116,085 "
Brazil,Total,25-29," 17,002,763 "
Brazil,Total,30-34," 17,158,871 "
Brazil,Total,35-39," 17,091,269 "
Brazil,Total,40-44," 15,816,540 "
Brazil,Total,45-49," 13,837,158 "
Brazil,Total,50-54," 12,706,839 "
Brazil,Total,55-59," 11,407,504 "
Brazil,Total,60-64," 9,575,054 "
Brazil,Total,65-69," 7,531,116 "
Brazil,Total,70-74," 5,563,716 "
Brazil,Total,75-79," 3,720,040 "
Brazil,Total,80-84," 2,417,375 "
Brazil,Total,85-89," 1,298,150 "
Brazil,Total,90+," 842,304 "
AC,Female,0," 8,169 "
AC,Female,01-04," 32,413 "
AC,Female,05-09," 41,303 "
AC,Female,10-14," 43,301 "
AC,Female,15-19," 45,521 "
AC,Female,20-24," 43,765 "
AC,Female,25-29," 39,017 "
AC,Female,30-34," 35,333 "
AC,Female,35-39," 34,082 "
AC,Female,40-44," 30,353 "
AC,Female,45-49," 24,358 "
AC,Female,50-54," 20,094 "
AC,Female,55-59," 15,480 "
AC,Female,60-64," 12,242 "
AC,Female,65-69," 9,299 "
AC,Female,70-74," 6,585 "
AC,Female,75-79," 4,769 "
AC,Female,80-84," 2,853 "
AC,Female,85-89," 1,470 "
AC,Female,90+, 956 
AC,Male,0," 8,559 "
AC,Male,01-04," 33,996 "
AC,Male,05-09," 43,213 "
AC,Male,10-14," 44,932 "
AC,Male,15-19," 46,998 "
AC,Male,20-24," 44,838 "
AC,Male,25-29," 38,736 "
AC,Male,30-34," 34,997 "
AC,Male,35-39," 33,130 "
