sg_uf,Age Group,Female,Male,,
AC,0,0.0000,0.0000,,
AC,01-04,0.0000,0.0018,,
AC,05-09,0.0000,0.0000,,
AC,10-14,0.0000,0.0000,,
AC,15-19,0.0035,0.0053,,
AC,20-24,0.0018,0.0000,,
AC,25-29,0.0088,0.0035,,
AC,30-34,0.0141,0.0177,,
AC,35-39,0.0141,0.0247,,
AC,40-44,0.0283,0.0265,,
AC,45-49,0.0230,0.0318,,
AC,50-54,0.0353,0.0371,,
AC,55-59,0.0512,0.0530,,
AC,60-64,0.0618,0.0866,,
AC,65-69,0.0442,0.0742,,
AC,70-74,0.0459,0.0707,,
AC,75-79,0.0442,0.0406,,
AC,80-84,0.0424,0.0512,,
AC,85-89,0.0124,0.0212,,
AC,90+,0.0141,0.0088,,
AL,0,0.0037,0.0015,,
AL,01-04,0.0000,0.0007,,
AL,05-09,0.0000,0.0007,,
AL,10-14,0.0000,0.0015,,
AL,15-19,0.0022,0.0030,,
AL,20-24,0.0045,0.0067,,
AL,25-29,0.0067,0.0045,,
AL,30-34,0.0060,0.0097,,
AL,35-39,0.0127,0.0180,,
AL,40-44,0.0180,0.0292,,
AL,45-49,0.0247,0.0329,,
AL,50-54,0.0210,0.0531,,
AL,55-59,0.0367,0.0516,,
AL,60-64,0.0554,0.0621,,
AL,65-69,0.0584,0.0741,,
AL,70-74,0.0606,0.0771,,
AL,75-79,0.0427,0.0629,,
AL,80-84,0.0449,0.0442,,
AL,85-89,0.0240,0.0172,,
AL,90+,0.0150,0.0120,,
AM,0,0.0012,0.0015,,
AM,01-04,0.0007,0.0006,,
AM,05-09,0.0003,0.0001,,
AM,10-14,0.0004,0.0006,,
AM,15-19,0.0021,0.0010,,
AM,20-24,0.0030,0.0036,,
AM,25-29,0.0051,0.0074,,
AM,30-34,0.0112,0.0134,,
AM,35-39,0.0179,0.0254,,
AM,40-44,0.0237,0.0320,,
AM,45-49,0.0324,0.0369,,
AM,50-54,0.0335,0.0519,,
AM,55-59,0.0460,0.0573,,
AM,60-64,0.0608,0.0690,,
AM,65-69,0.0607,0.0674,,
AM,70-74,0.0530,0.0608,,
AM,75-79,0.0403,0.0467,,
AM,80-84,0.0320,0.0353,,
AM,85-89,0.0186,0.0232,,
AM,90+,0.0144,0.0086,,
AP,0,0.0038,0.0000,,
AP,01-04,0.0019,0.0019,,
AP,05-09,0.0000,0.0000,,
AP,10-14,0.0000,0.0019,,
AP,15-19,0.0019,0.0019,,
AP,20-24,0.0038,0.0019,,
AP,25-29,0.0115,0.0058,,
AP,30-34,0.0192,0.0135,,
AP,35-39,0.0212,0.0192,,
AP,40-44,0.0250,0.0481,,
AP,45-49,0.0269,0.0423,,
AP,50-54,0.0423,0.0538,,
AP,55-59,0.0481,0.0558,,
AP,60-64,0.0769,0.0904,,
AP,65-69,0.0481,0.0635,,
AP,70-74,0.0423,0.0558,,
AP,75-79,0.0250,0.0462,,
AP,80-84,0.0154,0.0365,,
AP,85-89,0.0135,0.0154,,
AP,90+,0.0115,0.0077,,
BA,0,0.0008,0.0003,,
BA,01-04,0.0008,0.0009,,
BA,05-09,0.0000,0.0005,,
BA,10-14,0.0005,0.0005,,
BA,15-19,0.0011,0.0014,,
BA,20-24,0.0024,0.0025,,
BA,25-29,0.0041,0.0054,,
BA,30-34,0.0077,0.0112,,
BA,35-39,0.0133,0.0202,,
BA,40-44,0.0153,0.0224,,
BA,45-49,0.0194,0.0299,,
BA,50-54,0.0262,0.0386,,
BA,55-59,0.0337,0.0514,,
BA,60-64,0.0454,0.0605,,
BA,65-69,0.0653,0.0752,,
BA,70-74,0.0560,0.0700,,
BA,75-79,0.0541,0.0651,,
BA,80-84,0.0460,0.0495,,
BA,85-89,0.0310,0.0281,,
BA,90+,0.0243,0.0190,,
CE,0,0.0017,0.0023,,
CE,01-04,0.0008,0.0008,,
CE,05-09,0.0003,0.0001,,
CE,10-14,0.0005,0.0004,,
CE,15-19,0.0010,0.0009,,
CE,20-24,0.0036,0.0023,,
CE,25-29,0.0043,0.0065,,
CE,30-34,0.0083,0.0136,,
CE,35-39,0.0101,0.0198,,
CE,40-44,0.0163,0.0262,,
CE,45-49,0.0186,0.0324,,
CE,50-54,0.0271,0.0393,,
CE,55-59,0.0414,0.0460,,
CE,60-64,0.0498,0.0574,,
CE,65-69,0.0623,0.0672,,
CE,70-74,0.0653,0.0666,,
CE,75-79,0.0490,0.0610,,
CE,80-84,0.0450,0.0493,,
CE,85-89,0.0332,0.0255,,
CE,90+,0.0255,0.0185,,
DF,01-04,0.0003,0.0000,,
DF,05-09,0.0000,0.0000,,
DF,10-14,0.0000,0.0003,,
DF,15-19,0.0003,0.0006,,
DF,20-24,0.0006,0.0024,,
DF,25-29,0.0040,0.0091,,
DF,30-34,0.0061,0.0134,,
DF,35-39,0.0134,0.0219,,
DF,40-44,0.0216,0.0350,,
DF,45-49,0.0240,0.0438,,
DF,50-54,0.0280,0.0478,,
DF,55-59,0.0450,0.0551,,
DF,60-64,0.0536,0.0718,,
DF,65-69,0.0694,0.0806,,
DF,70-74,0.0554,0.0700,,
DF,75-79,0.0365,0.0533,,
DF,80-84,0.0295,0.0353,,
DF,85-89,0.0210,0.0177,,
DF,90+,0.0180,0.0152,,
ES,0,0.0000,0.0000,,
ES,01-04,0.0000,0.0000,,
ES,05-09,0.0000,0.0000,,
ES,10-14,0.0000,0.0000,,
ES,15-19,0.0017,0.0000,,
ES,20-24,0.0017,0.0040,,
ES,25-29,0.0057,0.0040,,
ES,30-34,0.0079,0.0074,,
ES,35-39,0.0119,0.0176,,
ES,40-44,0.0187,0.0181,,
ES,45-49,0.0227,0.0295,,
ES,50-54,0.0289,0.0312,,
ES,55-59,0.0374,0.0538,,
ES,60-64,0.0657,0.0646,,
ES,65-69,0.0674,0.0827,,
ES,70-74,0.0623,0.0748,,
ES,75-79,0.0578,0.0555,,
ES,80-84,0.0351,0.0465,,
ES,85-89,0.0232,0.0283,,
ES,90+,0.0159,0.0181,,
GO,0,0.0003,0.0005,,
GO,01-04,0.0001,0.0000,,
GO,05-09,0.0001,0.0000,,
GO,10-14,0.0004,0.0000,,
GO,15-19,0.0008,0.0004,,
GO,20-24,0.0040,0.0026,,
GO,25-29,0.0058,0.0073,,
GO,30-34,0.0085,0.0122,,
GO,35-39,0.0146,0.0212,,
GO,40-44,0.0216,0.0315,,
GO,45-49,0.0236,0.0409,,
GO,50-54,0.0384,0.0495,,
GO,55-59,0.0448,0.0605,,
GO,60-64,0.0579,0.0682,,
GO,65-69,0.0544,0.0744,,
GO,70-74,0.0531,0.0659,,
GO,75-79,0.0465,0.0514,,
GO,80-84,0.0342,0.0393,,
GO,85-89,0.0212,0.0211,,
GO,90+,0.0116,0.0112,,
MA,0,0.0005,0.0010,,
MA,01-04,0.0000,0.0005,,
MA,05-09,0.0000,0.0000,,
MA,10-14,0.0010,0.0005,,
MA,15-19,0.0024,0.0010,,
MA,20-24,0.0029,0.0019,,
MA,25-29,0.0082,0.0058,,
MA,30-34,0.0068,0.0136,,
MA,35-39,0.0131,0.0257,,
MA,40-44,0.0136,0.0330,,
MA,45-49,0.0238,0.0330,,
MA,50-54,0.0262,0.0456,,
MA,55-59,0.0334,0.0538,,
MA,60-64,0.0625,0.0567,,
MA,65-69,0.0635,0.0732,,
MA,70-74,0.0635,0.0727,,
MA,75-79,0.0451,0.0625,,
MA,80-84,0.0315,0.0402,,
MA,85-89,0.0194,0.0359,,
MA,90+,0.0131,0.0131,,
MG,0,0.0004,0.0005,,
MG,01-04,0.0002,0.0001,,
MG,05-09,0.0001,0.0000,,
MG,10-14,0.0001,0.0002,,
MG,15-19,0.0005,0.0004,,
MG,20-24,0.0017,0.0015,,
MG,25-29,0.0037,0.0043,,
MG,30-34,0.0064,0.0084,,
MG,35-39,0.0098,0.0148,,
MG,40-44,0.0128,0.0201,,
MG,45-49,0.0184,0.0262,,
MG,50-54,0.0265,0.0362,,
MG,55-59,0.0396,0.0503,,
MG,60-64,0.0564,0.0629,,
MG,65-69,0.0625,0.0757,,
MG,70-74,0.0610,0.0736,,
MG,75-79,0.0595,0.0628,,
MG,80-84,0.0480,0.0510,,
MG,85-89,0.0336,0.0313,,
MG,90+,0.0219,0.0162,,
MS,0,0.0009,0.0000,,
MS,01-04,0.0000,0.0000,,
MS,05-09,0.0003,0.0000,,
MS,10-14,0.0000,0.0000,,
MS,15-19,0.0006,0.0003,,
MS,20-24,0.0014,0.0009,,
MS,25-29,0.0069,0.0052,,
MS,30-34,0.0089,0.0130,,
MS,35-39,0.0124,0.0216,,
MS,40-44,0.0184,0.0276,,
MS,45-49,0.0256,0.0345,,
MS,50-54,0.0383,0.0463,,
MS,55-59,0.0452,0.0616,,
MS,60-64,0.0590,0.0728,,
MS,65-69,0.0659,0.0769,,
MS,70-74,0.0584,0.0725,,
MS,75-79,0.0481,0.0533,,
MS,80-84,0.0343,0.0308,,
MS,85-89,0.0150,0.0225,,
MS,90+,0.0098,0.0109,,
MT,0,0.0006,0.0000,,
MT,01-04,0.0000,0.0000,,
MT,05-09,0.0000,0.0000,,
MT,10-14,0.0000,0.0000,,
MT,15-19,0.0006,0.0000,,
MT,20-24,0.0026,0.0019,,
MT,25-29,0.0039,0.0026,,
MT,30-34,0.0110,0.0169,,
MT,35-39,0.0091,0.0201,,
MT,40-44,0.0227,0.0409,,
MT,45-49,0.0227,0.0435,,
MT,50-54,0.0234,0.0506,,
MT,55-59,0.0578,0.0655,,
MT,60-64,0.0454,0.0733,,
MT,65-69,0.0474,0.0746,,
MT,70-74,0.0623,0.0649,,
MT,75-79,0.0448,0.0584,,
MT,80-84,0.0299,0.0357,,
MT,85-89,0.0169,0.0273,,
MT,90+,0.0110,0.0117,,
PA,0,0.0005,0.0007,,
PA,01-04,0.0007,0.0002,,
PA,05-09,0.0000,0.0000,,
PA,10-14,0.0003,0.0008,,
PA,15-19,0.0003,0.0015,,
