Appendix 2a: 2021 Covid-19 Deaths as of April 30th as reported by Brasil.io (age and sex distribution according to hospitalized COVID-19 deaths),,,
State,Sex,Age Group,Covid Deaths
Brazil,Female,0,108
Brazil,Female,01-04,45
Brazil,Female,05-09,18
Brazil,Female,10-14,59
Brazil,Female,15-19,175
Brazil,Female,20-24,474
Brazil,Female,25-29,944
Brazil,Female,30-34,1560
Brazil,Female,35-39,2370
Brazil,Female,40-44,3546
Brazil,Female,45-49,4467
Brazil,Female,50-54,6260
Brazil,Female,55-59,8575
Brazil,Female,60-64,11506
Brazil,Female,65-69,13132
Brazil,Female,70-74,12500
Brazil,Female,75-79,10464
Brazil,Female,80-84,8481
Brazil,Female,85-89,5602
Brazil,Female,90+,3790
Brazil,Male,0,104
Brazil,Male,01-04,45
Brazil,Male,05-09,21
Brazil,Male,10-14,48
Brazil,Male,15-19,131
Brazil,Male,20-24,457
Brazil,Male,25-29,1083
Brazil,Male,30-34,2278
Brazil,Male,35-39,3761
Brazil,Male,40-44,5297
Brazil,Male,45-49,6792
Brazil,Male,50-54,8962
Brazil,Male,55-59,11661
Brazil,Male,60-64,14329
Brazil,Male,65-69,16042
Brazil,Male,70-74,15094
Brazil,Male,75-79,12303
Brazil,Male,80-84,8954
Brazil,Male,85-89,5239
Brazil,Male,90+,2781
Brazil,Total,0,213
Brazil,Total,01-04,90
Brazil,Total,05-09,39
Brazil,Total,10-14,107
Brazil,Total,15-19,306
Brazil,Total,20-24,931
Brazil,Total,25-29,2027
Brazil,Total,30-34,3837
Brazil,Total,35-39,6132
Brazil,Total,40-44,8843
Brazil,Total,45-49,11259
Brazil,Total,50-54,15222
Brazil,Total,55-59,20237
Brazil,Total,60-64,25834
Brazil,Total,65-69,29174
Brazil,Total,70-74,27593
Brazil,Total,75-79,22767
Brazil,Total,80-84,17436
Brazil,Total,85-89,10841
Brazil,Total,90+,6570
AC,Female,0,0
AC,Female,01-04,0
AC,Female,05-09,0
AC,Female,10-14,0
AC,Female,15-19,3
AC,Female,20-24,1
AC,Female,25-29,6
AC,Female,30-34,10
