scenario,STATE,decline
1,RO,1.324030896
1,AC,1.344552576
1,AM,3.136048968
1,RR,2.139039959
1,PA,2.437877126
1,AP,2.460073529
1,TO,0.96679985
1,MA,1.952835675
1,PI,0.923833156
1,CE,1.378091137
1,RN,0.775678035
1,PB,0.78064371
1,PE,1.279314083
1,AL,1.196180802
1,SE,1.041072607
1,BA,1.003864438
1,MG,0.368311336
1,ES,1.199196388
1,RJ,1.347286717
1,SP,0.798049852
1,PR,0.343066396
1,SC,-0.012720929
1,RS,-0.053190431
1,MS,0.763610793
1,MT,1.96158821
1,GO,1.058770957
1,DF,1.626955978
2,RO,1.300846075
2,AC,1.498549044
2,AM,3.329547823
2,RR,1.94625033
2,PA,2.704283156
2,AP,3.464651004
2,TO,1.31120904
2,MA,2.27981391
2,PI,1.200186292
2,CE,1.687557254
2,RN,0.914014135
2,PB,0.972433937
2,PE,1.479945479
2,AL,1.561485615
2,SE,1.333304915
2,BA,1.205511259
2,MG,0.543709848
2,ES,1.447272953
2,RJ,1.605149096
2,SP,0.988987804
2,PR,0.52811571
2,SC,0.36404258
2,RS,0.156461342
2,MS,1.028345044
2,MT,2.098532416
2,GO,1.319461989
2,DF,2.043184294
3,RO,1.369461473
3,AC,1.028507845
3,AM,2.722578373
3,RR,2.325841559
3,PA,1.990141087
3,AP,1.131749751
3,TO,0.522010038
3,MA,1.433467099
3,PI,0.613208061
3,CE,1.031112065
3,RN,0.612622764
3,PB,0.580888313
3,PE,1.050521211
3,AL,0.794280344
3,SE,0.705416911
3,BA,0.750271757
3,MG,0.186862883
3,ES,0.892267163
3,RJ,1.042899256
3,SP,0.577788616
3,PR,0.149278598
3,SC,-0.415530763
3,RS,-0.256427277
3,MS,0.461595748
3,MT,1.77949631
3,GO,0.752724648
3,DF,1.156460961
