scenario,STATE,decline
1,RO,0.55158547
1,AC,0.40371672
1,AM,0.135193604
1,RR,-0.508687342
1,PA,0.404942422
1,AP,2.05151035
1,TO,0.790022077
1,MA,1.011912488
1,PI,1.269695785
1,CE,1.63972759
1,RN,0.431171156
1,PB,0.804352254
1,PE,0.483145396
1,AL,1.19450185
1,SE,0.850967144
1,BA,0.527952858
1,MG,0.253226046
1,ES,0.499042598
1,RJ,0.267364081
1,SP,0.584905729
1,PR,0.68176218
1,SC,0.819011874
1,RS,0.386703357
1,MS,0.961679423
1,MT,0.885622796
1,GO,0.543964372
1,DF,0.881618711
2,RO,-0.068615398
2,AC,0.470041199
2,AM,0.60696945
2,RR,-0.379591229
2,PA,0.714142069
2,AP,2.332901253
2,TO,0.789199001
2,MA,0.846346812
2,PI,0.586978231
2,CE,0.656445189
2,RN,0.301391372
2,PB,0.391545624
2,PE,0.429424268
2,AL,0.767205271
2,SE,0.627888005
2,BA,0.455239502
2,MG,0.356846965
2,ES,0.55500579
2,RJ,0.56224984
2,SP,0.411199188
2,PR,0.378837113
2,SC,0.779573343
2,RS,0.412888619
2,MS,0.566749296
2,MT,0.319036106
2,GO,0.566737341
2,DF,0.886723333
