scenario,STATE,decline
1,RO,3.9248073
1,AC,2.067305872
1,AM,4.414499527
1,RR,2.86410701
1,PA,1.740270339
1,AP,2.126225664
1,TO,1.856623087
1,MA,1.252314911
1,PI,1.204520886
1,CE,1.56568047
1,RN,1.355805756
1,PB,1.395855486
1,PE,0.77593463
1,AL,1.011427908
1,SE,1.430315674
1,BA,1.233499606
1,MG,1.780139954
1,ES,2.077503387
1,RJ,1.540750529
1,SP,1.822109324
1,PR,2.286544878
1,SC,2.096970295
1,RS,2.157638466
1,MS,2.350186027
1,MT,3.080603755
1,GO,2.19185274
1,DF,2.530952767
2,RO,3.994324924
2,AC,1.9619813
2,AM,4.119175508
2,RR,2.690395723
2,PA,1.686537656
2,AP,2.351421932
2,TO,1.869998177
2,MA,1.153005009
2,PI,1.306691542
2,CE,1.619778441
2,RN,1.351234926
2,PB,1.504543819
2,PE,0.775803506
2,AL,1.113175979
2,SE,1.505801794
2,BA,1.22229634
2,MG,1.863214579
2,ES,2.066730815
2,RJ,1.606550288
2,SP,1.981691374
2,PR,2.434473564
2,SC,2.239518904
2,RS,2.237625506
2,MS,2.380777071
2,MT,3.242051898
2,GO,2.249080429
2,DF,2.758871064
3,RO,3.80569212
3,AC,2.201654346
3,AM,4.689669859
3,RR,3.018685385
3,PA,1.761572121
3,AP,1.845533288
3,TO,1.78903504
3,MA,1.395947692
3,PI,1.082148926
3,CE,1.482459347
3,RN,1.330196402
3,PB,1.247242975
3,PE,0.760590591
3,AL,0.882775345
3,SE,1.320084197
3,BA,1.217594148
3,MG,1.648122256
3,ES,2.010252846
3,RJ,1.418845752
3,SP,1.580472654
3,PR,2.050070997
3,SC,1.848481735
3,RS,2.001883161
3,MS,2.253754748
3,MT,2.779251797
3,GO,2.084187299
3,DF,2.24641087
