scenario,STATE,decline
1,RO,2.137776861
1,AC,1.142063472
1,AM,2.658275155
1,RR,1.552720604
1,PA,1.213839296
1,AP,1.149828162
1,TO,1.203588818
1,MA,0.937101286
1,PI,0.67790705
1,CE,0.89919271
1,RN,0.801830317
1,PB,0.790163316
1,PE,0.463625615
1,AL,0.581264579
1,SE,0.744536893
1,BA,0.818143135
1,MG,1.155755382
1,ES,1.338223345
1,RJ,0.922443277
1,SP,1.015941114
1,PR,1.382882618
1,SC,1.274173315
1,RS,1.196392368
1,MS,1.353010735
1,MT,1.881197651
1,GO,1.20749282
1,DF,1.471702257
2,RO,2.132754574
2,AC,1.139120084
2,AM,2.474418647
2,RR,1.546994907
2,PA,1.182308881
2,AP,1.589138658
2,TO,1.589138658
2,MA,0.814341482
2,PI,0.773561029
2,CE,0.944013647
2,RN,0.82252688
2,PB,0.865530513
2,PE,0.486176887
2,AL,0.669798829
2,SE,0.819099883
2,BA,0.813417823
2,MG,1.291641047
2,ES,1.4675134
2,RJ,1.055879113
2,SP,1.179118751
2,PR,1.179118751
2,SC,1.417208233
2,RS,1.337871736
2,MS,1.422892385
2,MT,2.06418992
2,GO,1.289042623
2,DF,1.568321494
3,RO,2.135982814
3,AC,1.183671784
3,AM,2.8148869
3,RR,1.502752179
3,PA,1.220970692
3,AP,0.700195716
3,TO,1.056302827
3,MA,1.109932939
3,PI,0.591665391
3,CE,0.850255754
3,RN,0.770848481
3,PB,0.706541042
3,PE,0.438398008
3,AL,0.48860944
3,SE,0.67076553
3,BA,0.813286693
3,MG,0.998474184
3,ES,1.148319611
3,RJ,0.76847303
3,SP,0.818645823
3,PR,1.229475964
3,SC,1.069025062
3,RS,1.020591098
3,MS,1.239440339
3,MT,1.604570305
3,GO,1.103841406
3,DF,1.364614283
